make_slug,make_name,model_name,source
acura,Acura,ADX,snapshot
acura,Acura,CL,snapshot
acura,Acura,ILX,snapshot
acura,Acura,Integra,snapshot
acura,Acura,Legend,snapshot
acura,Acura,MDX,snapshot
acura,Acura,NSX,snapshot
acura,Acura,RDX,snapshot
acura,Acura,RL,snapshot
acura,Acura,RLX,snapshot
acura,Acura,RSX,snapshot
acura,Acura,SLX,snapshot
acura,Acura,TL,snapshot
acura,Acura,TLX,snapshot
acura,Acura,TSX,snapshot
acura,Acura,Vigor,snapshot
acura,Acura,ZDX,snapshot
alfa_romeo,Alfa Romeo,164,snapshot
alfa_romeo,Alfa Romeo,4C,snapshot
alfa_romeo,Alfa Romeo,8C Competizione Spider,snapshot
alfa_romeo,Alfa Romeo,Giulia (952),snapshot
alfa_romeo,Alfa Romeo,GTV6,snapshot
alfa_romeo,Alfa Romeo,Milano,snapshot
alfa_romeo,Alfa Romeo,Spider,snapshot
alfa_romeo,Alfa Romeo,Stelvio,snapshot
alfa_romeo,Alfa Romeo,Tonale,snapshot
am_general,AM General,MV-1,snapshot
aston_martin,Aston Martin,DB11,snapshot
aston_martin,Aston Martin,DB12,snapshot
aston_martin,Aston Martin,DB7,snapshot
aston_martin,Aston Martin,DB9,snapshot
aston_martin,Aston Martin,DBS,snapshot
aston_martin,Aston Martin,DBX,snapshot
aston_martin,Aston Martin,Lagonda,snapshot
aston_martin,Aston Martin,Rapide,snapshot
aston_martin,Aston Martin,V12 Vantage,snapshot
aston_martin,Aston Martin,V8,snapshot
aston_martin,Aston Martin,V8 Vantage,snapshot
aston_martin,Aston Martin,Valhalla,snapshot
aston_martin,Aston Martin,Valiant,snapshot
aston_martin,Aston Martin,Valour,snapshot
aston_martin,Aston Martin,Vanquish,snapshot
aston_martin,Aston Martin,Vanquish Zagato,snapshot
aston_martin,Aston Martin,Vantage,snapshot
aston_martin,Aston Martin,Virage,snapshot
audi,Audi,100,snapshot
audi,Audi,200,snapshot
audi,Audi,4000,snapshot
audi,Audi,5000,snapshot
audi,Audi,80,snapshot
audi,Audi,90,snapshot
audi,Audi,A3,snapshot
audi,Audi,A4,snapshot
audi,Audi,A4 allroad,snapshot
audi,Audi,A5,snapshot
audi,Audi,A6,snapshot
audi,Audi,A6 allroad,snapshot
audi,Audi,A7,snapshot
audi,Audi,A7 e,snapshot
audi,Audi,A8,snapshot
audi,Audi,A8 e,snapshot
audi,Audi,A8 L,snapshot
audi,Audi,A8 L e,snapshot
audi,Audi,allroad,snapshot
audi,Audi,Cabriolet,snapshot
audi,Audi,Coupe,snapshot
audi,Audi,e-tron,snapshot
audi,Audi,e-tron GT,snapshot
audi,Audi,e-tron Sportback,snapshot
audi,Audi,Q3,snapshot
audi,Audi,Q4,snapshot
audi,Audi,Q5,snapshot
audi,Audi,Q5 e,snapshot
audi,Audi,Q6,snapshot
audi,Audi,Q7,snapshot
audi,Audi,Q8,snapshot
audi,Audi,R8,snapshot
audi,Audi,RS 3,snapshot
